线路名称	优选地址	网络带宽	峰值速度	往返延迟	数据中心	更新时间
移动	2606:4700:9647::35eb:281c	5 MB	647 kB/s	84 毫秒	HKG	2026-03-31 13:10:19
移动	2606:4700:9b07::a105:b904	5 MB	647 kB/s	85 毫秒	HKG	2026-03-31 13:07:03
移动	2606:4700:99e4::3b52:3607	5 MB	647 kB/s	85 毫秒	HKG	2026-03-31 13:10:19
移动	2606:4700:90c3::96a:cc9e	5 MB	647 kB/s	85 毫秒	HKG	2026-03-31 13:15:09
移动	2606:4700:9642::82ef:1854	5 MB	647 kB/s	84 毫秒	HKG	2026-03-31 13:07:03
电信	2606:4700:440d::5440:9fa4	5 MB	647 kB/s	81 毫秒	SIN	2026-03-31 13:15:39
电信	2606:4700:440d::833a:5836	5 MB	647 kB/s	80 毫秒	SIN	2026-03-31 13:08:37
电信	2606:4700:5b::e4ce:69ba	5 MB	647 kB/s	79 毫秒	SIN	2026-03-31 13:16:37
电信	2a06:98c1:310d::c7b9:8f0a	5 MB	647 kB/s	81 毫秒	SIN	2026-03-31 13:19:37
电信	2a06:98c1:3100::4302:74c4	5 MB	647 kB/s	81 毫秒	SIN	2026-03-31 13:11:40
